Date,Port Name,State,Port Code,Border,Measure,Value,Year,Month,Month_Name,Quarter,Region
1996-01-01,Alcan,Alaska,3104,Canada,Commercial Transportation,428,1996,1,January,1,Alaska
1996-01-01,Alcan,Alaska,3104,Canada,Personal Transportation,2976,1996,1,January,1,Alaska
1996-01-01,Alcan,Alaska,3104,Canada,Public Transportation,12,1996,1,January,1,Alaska
1996-01-01,Alexandria Bay,New York,708,Canada,Commercial Transportation,15706,1996,1,January,1,Northeast
1996-01-01,Alexandria Bay,New York,708,Canada,Personal Transportation,110373,1996,1,January,1,Northeast
1996-01-01,Alexandria Bay,New York,708,Canada,Public Transportation,1549,1996,1,January,1,Northeast
1996-01-01,Ambrose,North Dakota,3410,Canada,Commercial Transportation,3,1996,1,January,1,Northern Plains
1996-01-01,Ambrose,North Dakota,3410,Canada,Personal Transportation,1595,1996,1,January,1,Northern Plains
1996-01-01,Andrade,California,2502,Mexico,Commercial Transportation,849,1996,1,January,1,Southwest
1996-01-01,Andrade,California,2502,Mexico,Personal Transportation,428105,1996,1,January,1,Southwest
1996-01-01,Antler,North Dakota,3413,Canada,Commercial Transportation,81,1996,1,January,1,Northern Plains
1996-01-01,Antler,North Dakota,3413,Canada,Personal Transportation,2445,1996,1,January,1,Northern Plains
1996-01-01,Baudette,Minnesota,3424,Canada,Commercial Transportation,1047,1996,1,January,1,Great Lakes
1996-01-01,Baudette,Minnesota,3424,Canada,Personal Transportation,42917,1996,1,January,1,Great Lakes
1996-01-01,Baudette,Minnesota,3424,Canada,Public Transportation,677,1996,1,January,1,Great Lakes
1996-01-01,Baudette,Minnesota,3424,Canada,Rail Transportation,535,1996,1,January,1,Great Lakes
1996-01-01,Beecher Falls,Vermont,206,Canada,Commercial Transportation,1656,1996,1,January,1,Northeast
1996-01-01,Beecher Falls,Vermont,206,Canada,Personal Transportation,18419,1996,1,January,1,Northeast
1996-01-01,Beecher Falls,Vermont,206,Canada,Public Transportation,211,1996,1,January,1,Northeast
1996-01-01,Blaine,Washington,3004,Canada,Commercial Transportation,57297,1996,1,January,1,Pacific Northwest
1996-01-01,Blaine,Washington,3004,Canada,Personal Transportation,1007858,1996,1,January,1,Pacific Northwest
1996-01-01,Blaine,Washington,3004,Canada,Public Transportation,18857,1996,1,January,1,Pacific Northwest
1996-01-01,Blaine,Washington,3004,Canada,Rail Transportation,7108,1996,1,January,1,Pacific Northwest
1996-01-01,Boundary,Washington,3015,Canada,Personal Transportation,11791,1996,1,January,1,Pacific Northwest
1996-01-01,Bridgewater,Maine,127,Canada,Commercial Transportation,969,1996,1,January,1,Northeast
1996-01-01,Bridgewater,Maine,127,Canada,Personal Transportation,41315,1996,1,January,1,Northeast
1996-01-01,Bridgewater,Maine,127,Canada,Public Transportation,138,1996,1,January,1,Northeast
1996-01-01,Brownsville,Texas,2301,Mexico,Commercial Transportation,37413,1996,1,January,1,South
1996-01-01,Brownsville,Texas,2301,Mexico,Personal Transportation,2000098,1996,1,January,1,South
1996-01-01,Brownsville,Texas,2301,Mexico,Public Transportation,8589,1996,1,January,1,South
1996-01-01,Brownsville,Texas,2301,Mexico,Rail Transportation,4969,1996,1,January,1,South
1996-01-01,Buffalo Niagara Falls,New York,901,Canada,Commercial Transportation,79055,1996,1,January,1,Northeast
1996-01-01,Buffalo Niagara Falls,New York,901,Canada,Personal Transportation,1304505,1996,1,January,1,Northeast
1996-01-01,Buffalo Niagara Falls,New York,901,Canada,Public Transportation,45928,1996,1,January,1,Northeast
1996-01-01,Buffalo Niagara Falls,New York,901,Canada,Rail Transportation,2319,1996,1,January,1,Northeast
1996-01-01,Calais,Maine,115,Canada,Commercial Transportation,17910,1996,1,January,1,Northeast
1996-01-01,Calais,Maine,115,Canada,Personal Transportation,355916,1996,1,January,1,Northeast
1996-01-01,Calais,Maine,115,Canada,Public Transportation,309,1996,1,January,1,Northeast
1996-01-01,Calais,Maine,115,Canada,Rail Transportation,245,1996,1,January,1,Northeast
1996-01-01,Calexico,California,2503,Mexico,Commercial Transportation,29000,1996,1,January,1,Southwest
1996-01-01,Calexico,California,2503,Mexico,Personal Transportation,3114356,1996,1,January,1,Southwest
1996-01-01,Calexico,California,2503,Mexico,Public Transportation,1333,1996,1,January,1,Southwest
1996-01-01,Calexico,California,2503,Mexico,Rail Transportation,775,1996,1,January,1,Southwest
1996-01-01,Carbury,North Dakota,3421,Canada,Commercial Transportation,144,1996,1,January,1,Northern Plains
1996-01-01,Carbury,North Dakota,3421,Canada,Personal Transportation,3377,1996,1,January,1,Northern Plains
1996-01-01,Champlain Rouses Point,New York,712,Canada,Commercial Transportation,25211,1996,1,January,1,Northeast
1996-01-01,Champlain Rouses Point,New York,712,Canada,Personal Transportation,200816,1996,1,January,1,Northeast
1996-01-01,Champlain Rouses Point,New York,712,Canada,Public Transportation,9257,1996,1,January,1,Northeast
1996-01-01,Champlain Rouses Point,New York,712,Canada,Rail Transportation,1812,1996,1,January,1,Northeast
1996-01-01,Columbus,New Mexico,2406,Mexico,Commercial Transportation,255,1996,1,January,1,Southwest
1996-01-01,Columbus,New Mexico,2406,Mexico,Personal Transportation,82427,1996,1,January,1,Southwest
1996-01-01,Columbus,New Mexico,2406,Mexico,Public Transportation,14,1996,1,January,1,Southwest
1996-01-01,Dalton Cache,Alaska,3106,Canada,Commercial Transportation,94,1996,1,January,1,Alaska
1996-01-01,Dalton Cache,Alaska,3106,Canada,Personal Transportation,1909,1996,1,January,1,Alaska
1996-01-01,Dalton Cache,Alaska,3106,Canada,Public Transportation,286,1996,1,January,1,Alaska
1996-01-01,Danville,Washington,3012,Canada,Commercial Transportation,176,1996,1,January,1,Pacific Northwest
1996-01-01,Danville,Washington,3012,Canada,Personal Transportation,20389,1996,1,January,1,Pacific Northwest
1996-01-01,Danville,Washington,3012,Canada,Public Transportation,42,1996,1,January,1,Pacific Northwest
1996-01-01,Danville,Washington,3012,Canada,Rail Transportation,87,1996,1,January,1,Pacific Northwest
1996-01-01,Del Bonita,Montana,3322,Canada,Commercial Transportation,118,1996,1,January,1,Northern Plains
1996-01-01,Del Bonita,Montana,3322,Canada,Personal Transportation,7194,1996,1,January,1,Northern Plains
1996-01-01,Del Rio,Texas,2302,Mexico,Commercial Transportation,6079,1996,1,January,1,South
1996-01-01,Del Rio,Texas,2302,Mexico,Personal Transportation,560710,1996,1,January,1,South
1996-01-01,Del Rio,Texas,2302,Mexico,Public Transportation,1196,1996,1,January,1,South
1996-01-01,Derby Line,Vermont,209,Canada,Commercial Transportation,6569,1996,1,January,1,Northeast
1996-01-01,Derby Line,Vermont,209,Canada,Rail Transportation,307,1996,1,January,1,Northeast
1996-01-01,Detroit,Michigan,3801,Canada,Commercial Transportation,167621,1996,1,January,1,Great Lakes
1996-01-01,Detroit,Michigan,3801,Canada,Personal Transportation,2371213,1996,1,January,1,Great Lakes
1996-01-01,Detroit,Michigan,3801,Canada,Public Transportation,38059,1996,1,January,1,Great Lakes
1996-01-01,Detroit,Michigan,3801,Canada,Rail Transportation,1260,1996,1,January,1,Great Lakes
1996-01-01,Douglas,Arizona,2601,Mexico,Commercial Transportation,4555,1996,1,January,1,Southwest
1996-01-01,Douglas,Arizona,2601,Mexico,Personal Transportation,537760,1996,1,January,1,Southwest
1996-01-01,Douglas,Arizona,2601,Mexico,Public Transportation,540,1996,1,January,1,Southwest
1996-01-01,Dunseith,North Dakota,3422,Canada,Commercial Transportation,3678,1996,1,January,1,Northern Plains
1996-01-01,Dunseith,North Dakota,3422,Canada,Personal Transportation,11804,1996,1,January,1,Northern Plains
1996-01-01,Dunseith,North Dakota,3422,Canada,Public Transportation,790,1996,1,January,1,Northern Plains
1996-01-01,Eagle Pass,Texas,2303,Mexico,Commercial Transportation,8354,1996,1,January,1,South
1996-01-01,Eagle Pass,Texas,2303,Mexico,Personal Transportation,797177,1996,1,January,1,South
1996-01-01,Eagle Pass,Texas,2303,Mexico,Public Transportation,732,1996,1,January,1,South
1996-01-01,Eagle Pass,Texas,2303,Mexico,Rail Transportation,5115,1996,1,January,1,South
1996-01-01,Eastport,Idaho,3302,Canada,Commercial Transportation,6588,1996,1,January,1,Pacific Northwest
1996-01-01,Eastport,Idaho,3302,Canada,Personal Transportation,12540,1996,1,January,1,Pacific Northwest
1996-01-01,Eastport,Idaho,3302,Canada,Public Transportation,657,1996,1,January,1,Pacific Northwest
1996-01-01,Eastport,Idaho,3302,Canada,Rail Transportation,2755,1996,1,January,1,Pacific Northwest
1996-01-01,El Paso,Texas,2402,Mexico,Commercial Transportation,91098,1996,1,January,1,South
