Port Name,State,Border,Date,Measure,Value,Season
Alcan,Alaska,Canada,1996-01-01,Buses,9,Winter
Alcan,Alaska,Canada,1996-01-01,Pedestrians,0,Winter
Alcan,Alaska,Canada,1996-01-01,Cars,2011,Winter
Alcan,Alaska,Canada,1996-01-01,Trains,0,Winter
Alexandria Bay,New York,Canada,1996-01-01,Buses,1505,Winter
Alexandria Bay,New York,Canada,1996-01-01,Pedestrians,0,Winter
Alexandria Bay,New York,Canada,1996-01-01,Cars,80615,Winter
Alexandria Bay,New York,Canada,1996-01-01,Trains,0,Winter
Ambrose,North Dakota,Canada,1996-01-01,Buses,0,Winter
Ambrose,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Ambrose,North Dakota,Canada,1996-01-01,Cars,1130,Winter
Ambrose,North Dakota,Canada,1996-01-01,Trains,0,Winter
Andrade,California,Mexico,1996-01-01,Buses,0,Winter
Andrade,California,Mexico,1996-01-01,Pedestrians,207565,Winter
Andrade,California,Mexico,1996-01-01,Cars,165128,Winter
Andrade,California,Mexico,1996-01-01,Trains,0,Winter
Antler,North Dakota,Canada,1996-01-01,Buses,0,Winter
Antler,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Antler,North Dakota,Canada,1996-01-01,Cars,1576,Winter
Antler,North Dakota,Canada,1996-01-01,Trains,0,Winter
Baudette,Minnesota,Canada,1996-01-01,Buses,612,Winter
Baudette,Minnesota,Canada,1996-01-01,Pedestrians,46,Winter
Baudette,Minnesota,Canada,1996-01-01,Cars,30262,Winter
Baudette,Minnesota,Canada,1996-01-01,Trains,428,Winter
Beecher Falls,Vermont,Canada,1996-01-01,Buses,205,Winter
Beecher Falls,Vermont,Canada,1996-01-01,Pedestrians,0,Winter
Beecher Falls,Vermont,Canada,1996-01-01,Cars,11293,Winter
Beecher Falls,Vermont,Canada,1996-01-01,Trains,0,Winter
Blaine,Washington,Canada,1996-01-01,Buses,17958,Winter
Blaine,Washington,Canada,1996-01-01,Pedestrians,641,Winter
Blaine,Washington,Canada,1996-01-01,Cars,714877,Winter
Blaine,Washington,Canada,1996-01-01,Trains,2332,Winter
Boundary,Washington,Canada,1996-01-01,Buses,0,Winter
Boundary,Washington,Canada,1996-01-01,Pedestrians,0,Winter
Boundary,Washington,Canada,1996-01-01,Cars,7545,Winter
Boundary,Washington,Canada,1996-01-01,Trains,0,Winter
Bridgewater,Maine,Canada,1996-01-01,Buses,132,Winter
Bridgewater,Maine,Canada,1996-01-01,Pedestrians,2,Winter
Bridgewater,Maine,Canada,1996-01-01,Cars,30814,Winter
Bridgewater,Maine,Canada,1996-01-01,Trains,0,Winter
Brownsville,Texas,Mexico,1996-01-01,Buses,8180,Winter
Brownsville,Texas,Mexico,1996-01-01,Pedestrians,283000,Winter
Brownsville,Texas,Mexico,1996-01-01,Cars,1226499,Winter
Brownsville,Texas,Mexico,1996-01-01,Trains,0,Winter
Buffalo Niagara Falls,New York,Canada,1996-01-01,Buses,44115,Winter
Buffalo Niagara Falls,New York,Canada,1996-01-01,Pedestrians,5293,Winter
Buffalo Niagara Falls,New York,Canada,1996-01-01,Cars,893376,Winter
Buffalo Niagara Falls,New York,Canada,1996-01-01,Trains,2054,Winter
Calais,Maine,Canada,1996-01-01,Buses,297,Winter
Calais,Maine,Canada,1996-01-01,Pedestrians,1750,Winter
Calais,Maine,Canada,1996-01-01,Cars,243489,Winter
Calais,Maine,Canada,1996-01-01,Trains,0,Winter
Calexico,California,Mexico,1996-01-01,Buses,1243,Winter
Calexico,California,Mexico,1996-01-01,Pedestrians,756342,Winter
Calexico,California,Mexico,1996-01-01,Cars,1765548,Winter
Calexico,California,Mexico,1996-01-01,Trains,147,Winter
Calexico East,California,Mexico,1996-01-01,Buses,0,Winter
Calexico East,California,Mexico,1996-01-01,Pedestrians,0,Winter
Calexico East,California,Mexico,1996-01-01,Cars,0,Winter
Calexico East,California,Mexico,1996-01-01,Trains,0,Winter
Carbury,North Dakota,Canada,1996-01-01,Buses,0,Winter
Carbury,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Carbury,North Dakota,Canada,1996-01-01,Cars,2328,Winter
Carbury,North Dakota,Canada,1996-01-01,Trains,0,Winter
Champlain Rouses Point,New York,Canada,1996-01-01,Buses,8869,Winter
Champlain Rouses Point,New York,Canada,1996-01-01,Pedestrians,95,Winter
Champlain Rouses Point,New York,Canada,1996-01-01,Cars,145728,Winter
Champlain Rouses Point,New York,Canada,1996-01-01,Trains,1727,Winter
Columbus,New Mexico,Mexico,1996-01-01,Buses,13,Winter
Columbus,New Mexico,Mexico,1996-01-01,Pedestrians,8562,Winter
Columbus,New Mexico,Mexico,1996-01-01,Cars,44379,Winter
Columbus,New Mexico,Mexico,1996-01-01,Trains,0,Winter
Dalton Cache,Alaska,Canada,1996-01-01,Buses,212,Winter
Dalton Cache,Alaska,Canada,1996-01-01,Pedestrians,55,Winter
Dalton Cache,Alaska,Canada,1996-01-01,Cars,1234,Winter
Dalton Cache,Alaska,Canada,1996-01-01,Trains,0,Winter
Danville,Washington,Canada,1996-01-01,Buses,41,Winter
Danville,Washington,Canada,1996-01-01,Pedestrians,88,Winter
Danville,Washington,Canada,1996-01-01,Cars,12849,Winter
Danville,Washington,Canada,1996-01-01,Trains,65,Winter
Del Bonita,Montana,Canada,1996-01-01,Buses,0,Winter
Del Bonita,Montana,Canada,1996-01-01,Pedestrians,11,Winter
Del Bonita,Montana,Canada,1996-01-01,Cars,5509,Winter
Del Bonita,Montana,Canada,1996-01-01,Trains,0,Winter
Del Rio,Texas,Mexico,1996-01-01,Buses,598,Winter
Del Rio,Texas,Mexico,1996-01-01,Pedestrians,22303,Winter
Del Rio,Texas,Mexico,1996-01-01,Cars,400354,Winter
Del Rio,Texas,Mexico,1996-01-01,Trains,0,Winter
Derby Line,Vermont,Canada,1996-01-01,Buses,0,Winter
Derby Line,Vermont,Canada,1996-01-01,Pedestrians,0,Winter
Derby Line,Vermont,Canada,1996-01-01,Cars,0,Winter
Derby Line,Vermont,Canada,1996-01-01,Trains,0,Winter
Detroit,Michigan,Canada,1996-01-01,Buses,35364,Winter
Detroit,Michigan,Canada,1996-01-01,Pedestrians,0,Winter
Detroit,Michigan,Canada,1996-01-01,Cars,1737820,Winter
Detroit,Michigan,Canada,1996-01-01,Trains,945,Winter
Douglas,Arizona,Mexico,1996-01-01,Buses,270,Winter
Douglas,Arizona,Mexico,1996-01-01,Pedestrians,28732,Winter
Douglas,Arizona,Mexico,1996-01-01,Cars,354777,Winter
Douglas,Arizona,Mexico,1996-01-01,Trains,0,Winter
Dunseith,North Dakota,Canada,1996-01-01,Buses,768,Winter
Dunseith,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Dunseith,North Dakota,Canada,1996-01-01,Cars,8853,Winter
Dunseith,North Dakota,Canada,1996-01-01,Trains,0,Winter
Eagle Pass,Texas,Mexico,1996-01-01,Buses,366,Winter
Eagle Pass,Texas,Mexico,1996-01-01,Pedestrians,34716,Winter
Eagle Pass,Texas,Mexico,1996-01-01,Cars,544615,Winter
Eagle Pass,Texas,Mexico,1996-01-01,Trains,460,Winter
Eastport,Idaho,Canada,1996-01-01,Buses,640,Winter
Eastport,Idaho,Canada,1996-01-01,Pedestrians,160,Winter
Eastport,Idaho,Canada,1996-01-01,Cars,8802,Winter
Eastport,Idaho,Canada,1996-01-01,Trains,129,Winter
El Paso,Texas,Mexico,1996-01-01,Buses,11363,Winter
El Paso,Texas,Mexico,1996-01-01,Pedestrians,326808,Winter
El Paso,Texas,Mexico,1996-01-01,Cars,2870450,Winter
El Paso,Texas,Mexico,1996-01-01,Trains,0,Winter
Ferry,Washington,Canada,1996-01-01,Buses,102,Winter
Ferry,Washington,Canada,1996-01-01,Pedestrians,10,Winter
Ferry,Washington,Canada,1996-01-01,Cars,1359,Winter
Ferry,Washington,Canada,1996-01-01,Trains,0,Winter
Fort Fairfield,Maine,Canada,1996-01-01,Buses,310,Winter
Fort Fairfield,Maine,Canada,1996-01-01,Pedestrians,0,Winter
Fort Fairfield,Maine,Canada,1996-01-01,Cars,42028,Winter
Fort Fairfield,Maine,Canada,1996-01-01,Trains,0,Winter
Fort Kent,Maine,Canada,1996-01-01,Buses,0,Winter
Fort Kent,Maine,Canada,1996-01-01,Pedestrians,721,Winter
Fort Kent,Maine,Canada,1996-01-01,Cars,53640,Winter
Fort Kent,Maine,Canada,1996-01-01,Trains,0,Winter
Fortuna,North Dakota,Canada,1996-01-01,Buses,568,Winter
Fortuna,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Fortuna,North Dakota,Canada,1996-01-01,Cars,1997,Winter
Fortuna,North Dakota,Canada,1996-01-01,Trains,0,Winter
Frontier,Washington,Canada,1996-01-01,Buses,682,Winter
Frontier,Washington,Canada,1996-01-01,Pedestrians,0,Winter
Frontier,Washington,Canada,1996-01-01,Cars,9728,Winter
Frontier,Washington,Canada,1996-01-01,Trains,63,Winter
Grand Portage,Minnesota,Canada,1996-01-01,Buses,3192,Winter
Grand Portage,Minnesota,Canada,1996-01-01,Pedestrians,0,Winter
Grand Portage,Minnesota,Canada,1996-01-01,Cars,23247,Winter
Grand Portage,Minnesota,Canada,1996-01-01,Trains,0,Winter
Hannah,North Dakota,Canada,1996-01-01,Buses,0,Winter
Hannah,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Hannah,North Dakota,Canada,1996-01-01,Cars,916,Winter
Hannah,North Dakota,Canada,1996-01-01,Trains,0,Winter
Hansboro,North Dakota,Canada,1996-01-01,Buses,556,Winter
Hansboro,North Dakota,Canada,1996-01-01,Pedestrians,0,Winter
Hansboro,North Dakota,Canada,1996-01-01,Cars,1612,Winter
Hansboro,North Dakota,Canada,1996-01-01,Trains,0,Winter
Hidalgo,Texas,Mexico,1996-01-01,Buses,66575,Winter
Hidalgo,Texas,Mexico,1996-01-01,Pedestrians,227396,Winter
Hidalgo,Texas,Mexico,1996-01-01,Cars,1707553,Winter
Hidalgo,Texas,Mexico,1996-01-01,Trains,0,Winter
Highgate Springs,Vermont,Canada,1996-01-01,Buses,6899,Winter
Highgate Springs,Vermont,Canada,1996-01-01,Pedestrians,8,Winter
Highgate Springs,Vermont,Canada,1996-01-01,Cars,44189,Winter
Highgate Springs,Vermont,Canada,1996-01-01,Trains,59,Winter
Houlton,Maine,Canada,1996-01-01,Buses,249,Winter
Houlton,Maine,Canada,1996-01-01,Pedestrians,3,Winter
Houlton,Maine,Canada,1996-01-01,Cars,76650,Winter
Houlton,Maine,Canada,1996-01-01,Trains,0,Winter
International Falls,Minnesota,Canada,1996-01-01,Buses,184,Winter
International Falls,Minnesota,Canada,1996-01-01,Pedestrians,1576,Winter
International Falls,Minnesota,Canada,1996-01-01,Cars,81076,Winter
International Falls,Minnesota,Canada,1996-01-01,Trains,798,Winter
Jackman,Maine,Canada,1996-01-01,Buses,527,Winter
Jackman,Maine,Canada,1996-01-01,Pedestrians,102,Winter
Jackman,Maine,Canada,1996-01-01,Cars,22684,Winter
Jackman,Maine,Canada,1996-01-01,Trains,77,Winter
Kenneth G Ward,Washington,Canada,1996-01-01,Buses,507,Winter
Kenneth G Ward,Washington,Canada,1996-01-01,Pedestrians,296,Winter
