Date,Border,Monthly_Crossings,Year,Month,Month_Name
2000-01-01,Canada,9120445,2000,1,January
2000-01-01,Mexico,32562927,2000,1,January
2000-02-01,Canada,9417181,2000,2,February
2000-02-01,Mexico,31206672,2000,2,February
2000-03-01,Canada,11557273,2000,3,March
2000-03-01,Mexico,33641483,2000,3,March
2000-04-01,Canada,11872809,2000,4,April
2000-04-01,Mexico,32766485,2000,4,April
2000-05-01,Canada,13035044,2000,5,May
2000-05-01,Mexico,33642564,2000,5,May
2000-06-01,Canada,13653957,2000,6,June
2000-06-01,Mexico,31098615,2000,6,June
2000-07-01,Canada,16723499,2000,7,July
2000-07-01,Mexico,33472758,2000,7,July
2000-08-01,Canada,16509750,2000,8,August
2000-08-01,Mexico,33127835,2000,8,August
2000-09-01,Canada,13369583,2000,9,September
2000-09-01,Mexico,32002624,2000,9,September
2000-10-01,Canada,12196150,2000,10,October
2000-10-01,Mexico,32462353,2000,10,October
2000-11-01,Canada,10567692,2000,11,November
2000-11-01,Mexico,32045224,2000,11,November
2000-12-01,Canada,9766290,2000,12,December
2000-12-01,Mexico,34202329,2000,12,December
2001-01-01,Canada,9968711,2001,1,January
2001-01-01,Mexico,33172678,2001,1,January
2001-02-01,Canada,8803012,2001,2,February
2001-02-01,Mexico,31496411,2001,2,February
2001-03-01,Canada,10788933,2001,3,March
2001-03-01,Mexico,35311840,2001,3,March
2001-04-01,Canada,10463283,2001,4,April
2001-04-01,Mexico,33268396,2001,4,April
2001-05-01,Canada,11449120,2001,5,May
2001-05-01,Mexico,31317690,2001,5,May
2001-06-01,Canada,12655972,2001,6,June
2001-06-01,Mexico,30356726,2001,6,June
2001-07-01,Canada,15399079,2001,7,July
2001-07-01,Mexico,32135407,2001,7,July
2001-08-01,Canada,15909159,2001,8,August
2001-08-01,Mexico,31905247,2001,8,August
2001-09-01,Canada,9942374,2001,9,September
2001-09-01,Mexico,24278560,2001,9,September
2001-10-01,Canada,8656311,2001,10,October
2001-10-01,Mexico,24001398,2001,10,October
2001-11-01,Canada,8136859,2001,11,November
2001-11-01,Mexico,25460101,2001,11,November
2001-12-01,Canada,7919578,2001,12,December
2001-12-01,Mexico,30287057,2001,12,December
2002-01-01,Canada,7967046,2002,1,January
2002-01-01,Mexico,28538972,2002,1,January
2002-02-01,Canada,7839425,2002,2,February
2002-02-01,Mexico,26840027,2002,2,February
2002-03-01,Canada,9484491,2002,3,March
2002-03-01,Mexico,30140093,2002,3,March
2002-04-01,Canada,9458774,2002,4,April
2002-04-01,Mexico,28464637,2002,4,April
2002-05-01,Canada,10487686,2002,5,May
2002-05-01,Mexico,29764020,2002,5,May
2002-06-01,Canada,11102595,2002,6,June
2002-06-01,Mexico,29003452,2002,6,June
2002-07-01,Canada,13403729,2002,7,July
2002-07-01,Mexico,30639272,2002,7,July
2002-08-01,Canada,14371954,2002,8,August
2002-08-01,Mexico,30541415,2002,8,August
2002-09-01,Canada,10848047,2002,9,September
2002-09-01,Mexico,28613279,2002,9,September
2002-10-01,Canada,10238366,2002,10,October
2002-10-01,Mexico,29089764,2002,10,October
2002-11-01,Canada,8850342,2002,11,November
2002-11-01,Mexico,29360258,2002,11,November
2002-12-01,Canada,8780240,2002,12,December
2002-12-01,Mexico,31874934,2002,12,December
2003-01-01,Canada,8186226,2003,1,January
2003-01-01,Mexico,29023929,2003,1,January
2003-02-01,Canada,7549888,2003,2,February
2003-02-01,Mexico,26210851,2003,2,February
2003-03-01,Canada,8578623,2003,3,March
2003-03-01,Mexico,29032539,2003,3,March
2003-04-01,Canada,7766297,2003,4,April
2003-04-01,Mexico,27257690,2003,4,April
2003-05-01,Canada,9168311,2003,5,May
2003-05-01,Mexico,29764636,2003,5,May
2003-06-01,Canada,10273715,2003,6,June
2003-06-01,Mexico,28620020,2003,6,June
2003-07-01,Canada,12340460,2003,7,July
2003-07-01,Mexico,27095078,2003,7,July
2003-08-01,Canada,12952628,2003,8,August
2003-08-01,Mexico,29049271,2003,8,August
2003-09-01,Canada,9959044,2003,9,September
2003-09-01,Mexico,27441965,2003,9,September
2003-10-01,Canada,9499606,2003,10,October
2003-10-01,Mexico,28611262,2003,10,October
2003-11-01,Canada,8295872,2003,11,November
2003-11-01,Mexico,29901432,2003,11,November
2003-12-01,Canada,8167744,2003,12,December
2003-12-01,Mexico,31645566,2003,12,December
2004-01-01,Canada,7373490,2004,1,January
2004-01-01,Mexico,28529773,2004,1,January
2004-02-01,Canada,7821507,2004,2,February
2004-02-01,Mexico,27032806,2004,2,February
2004-03-01,Canada,8799951,2004,3,March
2004-03-01,Mexico,29792967,2004,3,March
2004-04-01,Canada,8626328,2004,4,April
2004-04-01,Mexico,28717456,2004,4,April
2004-05-01,Canada,9669448,2004,5,May
2004-05-01,Mexico,29440354,2004,5,May
2004-06-01,Canada,10525294,2004,6,June
2004-06-01,Mexico,27862504,2004,6,June
2004-07-01,Canada,12718048,2004,7,July
2004-07-01,Mexico,30558154,2004,7,July
2004-08-01,Canada,12960841,2004,8,August
2004-08-01,Mexico,29054534,2004,8,August
2004-09-01,Canada,10080151,2004,9,September
2004-09-01,Mexico,26418762,2004,9,September
2004-10-01,Canada,9547455,2004,10,October
2004-10-01,Mexico,27687454,2004,10,October
2004-11-01,Canada,8550079,2004,11,November
2004-11-01,Mexico,27754281,2004,11,November
2004-12-01,Canada,8023030,2004,12,December
2004-12-01,Mexico,30675631,2004,12,December
2005-01-01,Canada,7447288,2005,1,January
2005-01-01,Mexico,28595252,2005,1,January
2005-02-01,Canada,7492452,2005,2,February
2005-02-01,Mexico,26061559,2005,2,February
2005-03-01,Canada,8724428,2005,3,March
2005-03-01,Mexico,30131022,2005,3,March
2005-04-01,Canada,8544541,2005,4,April
2005-04-01,Mexico,27869200,2005,4,April
2005-05-01,Canada,9386894,2005,5,May
2005-05-01,Mexico,28635605,2005,5,May
2005-06-01,Canada,10277161,2005,6,June
2005-06-01,Mexico,27661843,2005,6,June
2005-07-01,Canada,12723059,2005,7,July
2005-07-01,Mexico,29138922,2005,7,July
2005-08-01,Canada,12649601,2005,8,August
2005-08-01,Mexico,28460506,2005,8,August
2005-09-01,Canada,10019526,2005,9,September
2005-09-01,Mexico,25881439,2005,9,September
2005-10-01,Canada,9409051,2005,10,October
2005-10-01,Mexico,27143823,2005,10,October
2005-11-01,Canada,8205193,2005,11,November
2005-11-01,Mexico,27005795,2005,11,November
2005-12-01,Canada,8364507,2005,12,December
2005-12-01,Mexico,30405601,2005,12,December
2006-01-01,Canada,7970535,2006,1,January
2006-01-01,Mexico,28097828,2006,1,January
2006-02-01,Canada,7337482,2006,2,February
2006-02-01,Mexico,25561071,2006,2,February
2006-03-01,Canada,8884331,2006,3,March
2006-03-01,Mexico,28812887,2006,3,March
2006-04-01,Canada,9037702,2006,4,April
2006-04-01,Mexico,27935586,2006,4,April
2006-05-01,Canada,9786723,2006,5,May
2006-05-01,Mexico,27230590,2006,5,May
2006-06-01,Canada,10169199,2006,6,June
2006-06-01,Mexico,26306529,2006,6,June
2006-07-01,Canada,12436769,2006,7,July
2006-07-01,Mexico,27778724,2006,7,July
2006-08-01,Canada,12177935,2006,8,August
2006-08-01,Mexico,27178195,2006,8,August
2006-09-01,Canada,9829908,2006,9,September
2006-09-01,Mexico,25235242,2006,9,September
2006-10-01,Canada,9015067,2006,10,October
2006-10-01,Mexico,26216622,2006,10,October
2006-11-01,Canada,8041323,2006,11,November
2006-11-01,Mexico,28178701,2006,11,November
2006-12-01,Canada,8021022,2006,12,December
2006-12-01,Mexico,29056051,2006,12,December
2007-01-01,Canada,6875497,2007,1,January
2007-01-01,Mexico,25760951,2007,1,January
2007-02-01,Canada,6606537,2007,2,February
2007-02-01,Mexico,23998926,2007,2,February
2007-03-01,Canada,8127159,2007,3,March
2007-03-01,Mexico,27319987,2007,3,March
2007-04-01,Canada,8010840,2007,4,April
2007-04-01,Mexico,25932125,2007,4,April
2007-05-01,Canada,9602603,2007,5,May
2007-05-01,Mexico,26771574,2007,5,May
2007-06-01,Canada,9807445,2007,6,June
2007-06-01,Mexico,25213374,2007,6,June
2007-07-01,Canada,11072657,2007,7,July
2007-07-01,Mexico,26549378,2007,7,July
2007-08-01,Canada,11756569,2007,8,August
2007-08-01,Mexico,26146134,2007,8,August
2007-09-01,Canada,9439798,2007,9,September
2007-09-01,Mexico,24341771,2007,9,September
2007-10-01,Canada,9558294,2007,10,October
2007-10-01,Mexico,25288147,2007,10,October
2007-11-01,Canada,8752365,2007,11,November
2007-11-01,Mexico,25160896,2007,11,November
