Date,Border,Monthly_Crossings,Year,Month,Month_Name
2000-01-01,Canada,5592983,2000,1,January
2000-01-01,Mexico,24241163,2000,1,January
2000-02-01,Canada,5752529,2000,2,February
2000-02-01,Mexico,23176028,2000,2,February
2000-03-01,Canada,7326993,2000,3,March
2000-03-01,Mexico,24986034,2000,3,March
2000-04-01,Canada,7741812,2000,4,April
2000-04-01,Mexico,24318901,2000,4,April
2000-05-01,Canada,8584388,2000,5,May
2000-05-01,Mexico,24839030,2000,5,May
2000-06-01,Canada,9029356,2000,6,June
2000-06-01,Mexico,22470533,2000,6,June
2000-07-01,Canada,11379153,2000,7,July
2000-07-01,Mexico,24907550,2000,7,July
2000-08-01,Canada,11098137,2000,8,August
2000-08-01,Mexico,24540445,2000,8,August
2000-09-01,Canada,8715485,2000,9,September
2000-09-01,Mexico,23738606,2000,9,September
2000-10-01,Canada,7702589,2000,10,October
2000-10-01,Mexico,23922305,2000,10,October
2000-11-01,Canada,6605953,2000,11,November
2000-11-01,Mexico,23683641,2000,11,November
2000-12-01,Canada,6247531,2000,12,December
2000-12-01,Mexico,25544128,2000,12,December
2001-01-01,Canada,6173222,2001,1,January
2001-01-01,Mexico,24652580,2001,1,January
2001-02-01,Canada,5297389,2001,2,February
2001-02-01,Mexico,23414606,2001,2,February
2001-03-01,Canada,6662449,2001,3,March
2001-03-01,Mexico,26216232,2001,3,March
2001-04-01,Canada,6360119,2001,4,April
2001-04-01,Mexico,24477885,2001,4,April
2001-05-01,Canada,6910195,2001,5,May
2001-05-01,Mexico,22264025,2001,5,May
2001-06-01,Canada,7911159,2001,6,June
2001-06-01,Mexico,21682263,2001,6,June
2001-07-01,Canada,10148174,2001,7,July
2001-07-01,Mexico,23264905,2001,7,July
2001-08-01,Canada,10405704,2001,8,August
2001-08-01,Mexico,22803746,2001,8,August
2001-09-01,Canada,6157786,2001,9,September
2001-09-01,Mexico,17400533,2001,9,September
2001-10-01,Canada,5002149,2001,10,October
2001-10-01,Mexico,17141717,2001,10,October
2001-11-01,Canada,4698393,2001,11,November
2001-11-01,Mexico,18347004,2001,11,November
2001-12-01,Canada,4707039,2001,12,December
2001-12-01,Mexico,22327361,2001,12,December
2002-01-01,Canada,4569517,2002,1,January
2002-01-01,Mexico,20530979,2002,1,January
2002-02-01,Canada,4520432,2002,2,February
2002-02-01,Mexico,19242211,2002,2,February
2002-03-01,Canada,5690811,2002,3,March
2002-03-01,Mexico,21752377,2002,3,March
2002-04-01,Canada,5575232,2002,4,April
2002-04-01,Mexico,20235972,2002,4,April
2002-05-01,Canada,6278795,2002,5,May
2002-05-01,Mexico,21283155,2002,5,May
2002-06-01,Canada,6854507,2002,6,June
2002-06-01,Mexico,20800866,2002,6,June
2002-07-01,Canada,8695872,2002,7,July
2002-07-01,Mexico,22099176,2002,7,July
2002-08-01,Canada,9282808,2002,8,August
2002-08-01,Mexico,22169438,2002,8,August
2002-09-01,Canada,6611741,2002,9,September
2002-09-01,Mexico,20366583,2002,9,September
2002-10-01,Canada,6086967,2002,10,October
2002-10-01,Mexico,20530330,2002,10,October
2002-11-01,Canada,5177955,2002,11,November
2002-11-01,Mexico,21030926,2002,11,November
2002-12-01,Canada,5194457,2002,12,December
2002-12-01,Mexico,23198222,2002,12,December
2003-01-01,Canada,4621096,2003,1,January
2003-01-01,Mexico,20782047,2003,1,January
2003-02-01,Canada,4305709,2003,2,February
2003-02-01,Mexico,18723299,2003,2,February
2003-03-01,Canada,5001023,2003,3,March
2003-03-01,Mexico,20837420,2003,3,March
2003-04-01,Canada,4324249,2003,4,April
2003-04-01,Mexico,19257519,2003,4,April
2003-05-01,Canada,5425087,2003,5,May
2003-05-01,Mexico,21313590,2003,5,May
2003-06-01,Canada,6238621,2003,6,June
2003-06-01,Mexico,20414957,2003,6,June
2003-07-01,Canada,7793325,2003,7,July
2003-07-01,Mexico,19515242,2003,7,July
2003-08-01,Canada,8264583,2003,8,August
2003-08-01,Mexico,20824470,2003,8,August
2003-09-01,Canada,5941722,2003,9,September
2003-09-01,Mexico,19440387,2003,9,September
2003-10-01,Canada,5517081,2003,10,October
2003-10-01,Mexico,20272917,2003,10,October
2003-11-01,Canada,4849395,2003,11,November
2003-11-01,Mexico,21751214,2003,11,November
2003-12-01,Canada,4810343,2003,12,December
2003-12-01,Mexico,22987179,2003,12,December
2004-01-01,Canada,4173178,2004,1,January
2004-01-01,Mexico,20236795,2004,1,January
2004-02-01,Canada,4442082,2004,2,February
2004-02-01,Mexico,19068952,2004,2,February
2004-03-01,Canada,5063684,2004,3,March
2004-03-01,Mexico,20979685,2004,3,March
2004-04-01,Canada,4989663,2004,4,April
2004-04-01,Mexico,20329561,2004,4,April
2004-05-01,Canada,5739603,2004,5,May
2004-05-01,Mexico,20788338,2004,5,May
2004-06-01,Canada,6304460,2004,6,June
