Date,Measure,Monthly_Crossings,Year,Month,Month_Name
2000-01-01,Commercial Transportation,1664657,2000,1,January
2000-01-01,Personal Transportation,39346057,2000,1,January
2000-01-01,Public Transportation,471867,2000,1,January
2000-01-01,Rail Transportation,200791,2000,1,January
2000-02-01,Commercial Transportation,1789572,2000,2,February
2000-02-01,Personal Transportation,38134285,2000,2,February
2000-02-01,Public Transportation,509312,2000,2,February
2000-02-01,Rail Transportation,190684,2000,2,February
2000-03-01,Commercial Transportation,2003137,2000,3,March
2000-03-01,Personal Transportation,42422692,2000,3,March
2000-03-01,Public Transportation,555459,2000,3,March
2000-03-01,Rail Transportation,217468,2000,3,March
2000-04-01,Commercial Transportation,1812678,2000,4,April
2000-04-01,Personal Transportation,41978741,2000,4,April
2000-04-01,Public Transportation,637584,2000,4,April
2000-04-01,Rail Transportation,210291,2000,4,April
2000-05-01,Commercial Transportation,1999669,2000,5,May
2000-05-01,Personal Transportation,43740704,2000,5,May
2000-05-01,Public Transportation,723815,2000,5,May
2000-05-01,Rail Transportation,213420,2000,5,May
2000-06-01,Commercial Transportation,1976465,2000,6,June
2000-06-01,Personal Transportation,41246345,2000,6,June
2000-06-01,Public Transportation,1314441,2000,6,June
2000-06-01,Rail Transportation,215321,2000,6,June
2000-07-01,Commercial Transportation,1737692,2000,7,July
2000-07-01,Personal Transportation,47308059,2000,7,July
2000-07-01,Public Transportation,928859,2000,7,July
2000-07-01,Rail Transportation,221647,2000,7,July
2000-08-01,Commercial Transportation,1889974,2000,8,August
2000-08-01,Personal Transportation,46628481,2000,8,August
2000-08-01,Public Transportation,894093,2000,8,August
2000-08-01,Rail Transportation,225037,2000,8,August
2000-09-01,Commercial Transportation,1750100,2000,9,September
2000-09-01,Personal Transportation,42604124,2000,9,September
2000-09-01,Public Transportation,804834,2000,9,September
2000-09-01,Rail Transportation,213149,2000,9,September
2000-10-01,Commercial Transportation,1980311,2000,10,October
2000-10-01,Personal Transportation,41691993,2000,10,October
2000-10-01,Public Transportation,790222,2000,10,October
2000-10-01,Rail Transportation,195977,2000,10,October
2000-11-01,Commercial Transportation,1858025,2000,11,November
2000-11-01,Personal Transportation,39956297,2000,11,November
2000-11-01,Public Transportation,590627,2000,11,November
2000-11-01,Rail Transportation,207967,2000,11,November
2000-12-01,Commercial Transportation,1544143,2000,12,December
2000-12-01,Personal Transportation,41663453,2000,12,December
2000-12-01,Public Transportation,577802,2000,12,December
2000-12-01,Rail Transportation,183221,2000,12,December
2001-01-01,Commercial Transportation,1846841,2001,1,January
2001-01-01,Personal Transportation,40531421,2001,1,January
2001-01-01,Public Transportation,557568,2001,1,January
2001-01-01,Rail Transportation,205559,2001,1,January
2001-02-01,Commercial Transportation,1675999,2001,2,February
2001-02-01,Personal Transportation,37891845,2001,2,February
2001-02-01,Public Transportation,535366,2001,2,February
2001-02-01,Rail Transportation,196213,2001,2,February
2001-03-01,Commercial Transportation,1935439,2001,3,March
2001-03-01,Personal Transportation,43274260,2001,3,March
2001-03-01,Public Transportation,653019,2001,3,March
2001-03-01,Rail Transportation,238055,2001,3,March
2001-04-01,Commercial Transportation,1821317,2001,4,April
2001-04-01,Personal Transportation,40995965,2001,4,April
2001-04-01,Public Transportation,693607,2001,4,April
2001-04-01,Rail Transportation,220790,2001,4,April
2001-05-01,Commercial Transportation,2011582,2001,5,May
2001-05-01,Personal Transportation,39747482,2001,5,May
2001-05-01,Public Transportation,765827,2001,5,May
2001-05-01,Rail Transportation,241919,2001,5,May
2001-06-01,Commercial Transportation,1900659,2001,6,June
2001-06-01,Personal Transportation,40054828,2001,6,June
2001-06-01,Public Transportation,834469,2001,6,June
2001-06-01,Rail Transportation,222742,2001,6,June
2001-07-01,Commercial Transportation,1759312,2001,7,July
2001-07-01,Personal Transportation,44638478,2001,7,July
2001-07-01,Public Transportation,917631,2001,7,July
2001-07-01,Rail Transportation,219065,2001,7,July
2001-08-01,Commercial Transportation,1963324,2001,8,August
2001-08-01,Personal Transportation,44747455,2001,8,August
2001-08-01,Public Transportation,885227,2001,8,August
2001-08-01,Rail Transportation,218400,2001,8,August
2001-09-01,Commercial Transportation,1721637,2001,9,September
2001-09-01,Personal Transportation,31602775,2001,9,September
2001-09-01,Public Transportation,681578,2001,9,September
2001-09-01,Rail Transportation,214944,2001,9,September
2001-10-01,Commercial Transportation,1967206,2001,10,October
2001-10-01,Personal Transportation,29778900,2001,10,October
