Date,Measure,Monthly_Crossings,Year,Month,Month_Name
2000-01-01,Buses,440219,2000,1,January
2000-01-01,Cars,25394605,2000,1,January
2000-01-01,Pedestrians,3983538,2000,1,January
2000-01-01,Trains,15784,2000,1,January
2000-02-01,Buses,477280,2000,2,February
2000-02-01,Cars,24538800,2000,2,February
2000-02-01,Pedestrians,3896049,2000,2,February
2000-02-01,Trains,16428,2000,2,February
2000-03-01,Buses,521655,2000,3,March
2000-03-01,Cars,27547895,2000,3,March
2000-03-01,Pedestrians,4224872,2000,3,March
2000-03-01,Trains,18605,2000,3,March
2000-04-01,Buses,600241,2000,4,April
2000-04-01,Cars,27752338,2000,4,April
2000-04-01,Pedestrians,3687443,2000,4,April
2000-04-01,Trains,20691,2000,4,April
2000-05-01,Buses,684786,2000,5,May
2000-05-01,Cars,28942204,2000,5,May
2000-05-01,Pedestrians,3775466,2000,5,May
2000-05-01,Trains,20962,2000,5,May
2000-06-01,Buses,1270805,2000,6,June
2000-06-01,Cars,26329050,2000,6,June
2000-06-01,Pedestrians,3869147,2000,6,June
2000-06-01,Trains,30887,2000,6,June
2000-07-01,Buses,883221,2000,7,July
2000-07-01,Cars,31197355,2000,7,July
2000-07-01,Pedestrians,4167895,2000,7,July
2000-07-01,Trains,38232,2000,7,July
2000-08-01,Buses,848683,2000,8,August
2000-08-01,Cars,30773353,2000,8,August
2000-08-01,Pedestrians,3974996,2000,8,August
2000-08-01,Trains,41550,2000,8,August
2000-09-01,Buses,763161,2000,9,September
2000-09-01,Cars,27805324,2000,9,September
2000-09-01,Pedestrians,3859193,2000,9,September
2000-09-01,Trains,26413,2000,9,September
2000-10-01,Buses,751442,2000,10,October
2000-10-01,Cars,27129015,2000,10,October
2000-10-01,Pedestrians,3722635,2000,10,October
2000-10-01,Trains,21802,2000,10,October
2000-11-01,Buses,555513,2000,11,November
2000-11-01,Cars,25900957,2000,11,November
2000-11-01,Pedestrians,3816100,2000,11,November
2000-11-01,Trains,17024,2000,11,November
2000-12-01,Buses,541853,2000,12,December
2000-12-01,Cars,26530604,2000,12,December
2000-12-01,Pedestrians,4699824,2000,12,December
2000-12-01,Trains,19378,2000,12,December
2001-01-01,Buses,520220,2001,1,January
2001-01-01,Cars,25891096,2001,1,January
2001-01-01,Pedestrians,4397760,2001,1,January
2001-01-01,Trains,16726,2001,1,January
2001-02-01,Buses,502773,2001,2,February
2001-02-01,Cars,23865845,2001,2,February
2001-02-01,Pedestrians,4327578,2001,2,February
2001-02-01,Trains,15799,2001,2,February
2001-03-01,Buses,615672,2001,3,March
2001-03-01,Cars,27212915,2001,3,March
2001-03-01,Pedestrians,5030864,2001,3,March
2001-03-01,Trains,19230,2001,3,March
2001-04-01,Buses,656047,2001,4,April
2001-04-01,Cars,25593829,2001,4,April
2001-04-01,Pedestrians,4568014,2001,4,April
2001-04-01,Trains,20114,2001,4,April
2001-05-01,Buses,723973,2001,5,May
2001-05-01,Cars,24208807,2001,5,May
2001-05-01,Pedestrians,4218625,2001,5,May
2001-05-01,Trains,22815,2001,5,May
2001-06-01,Buses,792547,2001,6,June
2001-06-01,Cars,24377638,2001,6,June
2001-06-01,Pedestrians,4394923,2001,6,June
2001-06-01,Trains,28314,2001,6,June
2001-07-01,Buses,870868,2001,7,July
2001-07-01,Cars,27810600,2001,7,July
2001-07-01,Pedestrians,4694714,2001,7,July
2001-07-01,Trains,36897,2001,7,July
2001-08-01,Buses,840290,2001,8,August
2001-08-01,Cars,28164692,2001,8,August
2001-08-01,Pedestrians,4165230,2001,8,August
2001-08-01,Trains,39238,2001,8,August
2001-09-01,Buses,645585,2001,9,September
2001-09-01,Cars,19002953,2001,9,September
2001-09-01,Pedestrians,3886317,2001,9,September
2001-09-01,Trains,23464,2001,9,September
2001-10-01,Buses,584644,2001,10,October
2001-10-01,Cars,17484465,2001,10,October
2001-10-01,Pedestrians,4058053,2001,10,October
2001-10-01,Trains,16704,2001,10,October
2001-11-01,Buses,544651,2001,11,November
2001-11-01,Cars,18572944,2001,11,November
2001-11-01,Pedestrians,3912578,2001,11,November
2001-11-01,Trains,15224,2001,11,November
2001-12-01,Buses,525961,2001,12,December
2001-12-01,Cars,21891167,2001,12,December
2001-12-01,Pedestrians,4599250,2001,12,December
2001-12-01,Trains,18022,2001,12,December
2002-01-01,Buses,531196,2002,1,January
2002-01-01,Cars,20501892,2002,1,January
2002-01-01,Pedestrians,4050911,2002,1,January
2002-01-01,Trains,16497,2002,1,January
2002-02-01,Buses,464940,2002,2,February
2002-02-01,Cars,19441491,2002,2,February
2002-02-01,Pedestrians,3841272,2002,2,February
2002-02-01,Trains,14940,2002,2,February
2002-03-01,Buses,631642,2002,3,March
2002-03-01,Cars,22268988,2002,3,March
2002-03-01,Pedestrians,4524074,2002,3,March
2002-03-01,Trains,18484,2002,3,March
2002-04-01,Buses,618444,2002,4,April
2002-04-01,Cars,21081948,2002,4,April
2002-04-01,Pedestrians,4092580,2002,4,April
2002-04-01,Trains,18232,2002,4,April
2002-05-01,Buses,726502,2002,5,May
2002-05-01,Cars,22511878,2002,5,May
2002-05-01,Pedestrians,4301920,2002,5,May
2002-05-01,Trains,21650,2002,5,May
2002-06-01,Buses,750433,2002,6,June
2002-06-01,Cars,22770577,2002,6,June
2002-06-01,Pedestrians,4103631,2002,6,June
2002-06-01,Trains,30732,2002,6,June
2002-07-01,Buses,916670,2002,7,July
2002-07-01,Cars,25373366,2002,7,July
2002-07-01,Pedestrians,4466726,2002,7,July
2002-07-01,Trains,38286,2002,7,July
2002-08-01,Buses,846422,2002,8,August
2002-08-01,Cars,26164930,2002,8,August
2002-08-01,Pedestrians,4399548,2002,8,August
2002-08-01,Trains,41346,2002,8,August
2002-09-01,Buses,738086,2002,9,September
2002-09-01,Cars,22230625,2002,9,September
2002-09-01,Pedestrians,3987444,2002,9,September
2002-09-01,Trains,22169,2002,9,September
2002-10-01,Buses,737784,2002,10,October
2002-10-01,Cars,21712835,2002,10,October
2002-10-01,Pedestrians,4149211,2002,10,October
2002-10-01,Trains,17467,2002,10,October
2002-11-01,Buses,563029,2002,11,November
2002-11-01,Cars,21159630,2002,11,November
2002-11-01,Pedestrians,4471106,2002,11,November
2002-11-01,Trains,15116,2002,11,November
2002-12-01,Buses,613869,2002,12,December
2002-12-01,Cars,22789148,2002,12,December
2002-12-01,Pedestrians,4974339,2002,12,December
2002-12-01,Trains,15323,2002,12,December
2003-01-01,Buses,592892,2003,1,January
2003-01-01,Cars,20493821,2003,1,January
2003-01-01,Pedestrians,4300415,2003,1,January
2003-01-01,Trains,16015,2003,1,January
2003-02-01,Buses,573016,2003,2,February
2003-02-01,Cars,18410476,2003,2,February
2003-02-01,Pedestrians,4030292,2003,2,February
2003-02-01,Trains,15224,2003,2,February
2003-03-01,Buses,586080,2003,3,March
2003-03-01,Cars,20783089,2003,3,March
2003-03-01,Pedestrians,4452584,2003,3,March
2003-03-01,Trains,16690,2003,3,March
2003-04-01,Buses,538972,2003,4,April
2003-04-01,Cars,18878149,2003,4,April
2003-04-01,Pedestrians,4146966,2003,4,April
2003-04-01,Trains,17681,2003,4,April
2003-05-01,Buses,649237,2003,5,May
2003-05-01,Cars,21912709,2003,5,May
2003-05-01,Pedestrians,4156449,2003,5,May
2003-05-01,Trains,20282,2003,5,May
2003-06-01,Buses,691111,2003,6,June
2003-06-01,Cars,21950847,2003,6,June
2003-06-01,Pedestrians,3984529,2003,6,June
2003-06-01,Trains,27091,2003,6,June
2003-07-01,Buses,784714,2003,7,July
2003-07-01,Cars,23069203,2003,7,July
2003-07-01,Pedestrians,3425323,2003,7,July
2003-07-01,Trains,29327,2003,7,July
2003-08-01,Buses,763889,2003,8,August
2003-08-01,Cars,24199634,2003,8,August
2003-08-01,Pedestrians,4093385,2003,8,August
2003-08-01,Trains,32145,2003,8,August
2003-09-01,Buses,648447,2003,9,September
2003-09-01,Cars,20939682,2003,9,September
2003-09-01,Pedestrians,3771457,2003,9,September
2003-09-01,Trains,22523,2003,9,September
2003-10-01,Buses,620484,2003,10,October
2003-10-01,Cars,21067476,2003,10,October
2003-10-01,Pedestrians,4084997,2003,10,October
2003-10-01,Trains,17041,2003,10,October
2003-11-01,Buses,532846,2003,11,November
2003-11-01,Cars,21524794,2003,11,November
2003-11-01,Pedestrians,4526109,2003,11,November
2003-11-01,Trains,16860,2003,11,November
2003-12-01,Buses,545167,2003,12,December
2003-12-01,Cars,22604138,2003,12,December
2003-12-01,Pedestrians,4632199,2003,12,December
2003-12-01,Trains,16018,2003,12,December
2004-01-01,Buses,550596,2004,1,January
2004-01-01,Cars,19811505,2004,1,January
2004-01-01,Pedestrians,4032850,2004,1,January
2004-01-01,Trains,15022,2004,1,January
