Date,Total_Crossings,Year,Month,Month_Name
2000-01-01,41683372,2000,1,January
2000-02-01,40623853,2000,2,February
2000-03-01,45198756,2000,3,March
2000-04-01,44639294,2000,4,April
2000-05-01,46677608,2000,5,May
2000-06-01,44752572,2000,6,June
2000-07-01,50196257,2000,7,July
2000-08-01,49637585,2000,8,August
2000-09-01,45372207,2000,9,September
2000-10-01,44658503,2000,10,October
2000-11-01,42612916,2000,11,November
2000-12-01,43968619,2000,12,December
2001-01-01,43141389,2001,1,January
2001-02-01,40299423,2001,2,February
2001-03-01,46100773,2001,3,March
2001-04-01,43731679,2001,4,April
2001-05-01,42766810,2001,5,May
2001-06-01,43012698,2001,6,June
2001-07-01,47534486,2001,7,July
2001-08-01,47814406,2001,8,August
2001-09-01,34220934,2001,9,September
2001-10-01,32657709,2001,10,October
2001-11-01,33596960,2001,11,November
2001-12-01,38206635,2001,12,December
2002-01-01,36506018,2002,1,January
2002-02-01,34679452,2002,2,February
2002-03-01,39624584,2002,3,March
2002-04-01,37923411,2002,4,April
2002-05-01,40251706,2002,5,May
2002-06-01,40106047,2002,6,June
2002-07-01,44043001,2002,7,July
2002-08-01,44913369,2002,8,August
2002-09-01,39461326,2002,9,September
2002-10-01,39328130,2002,10,October
2002-11-01,38210600,2002,11,November
2002-12-01,40655174,2002,12,December
2003-01-01,37210155,2003,1,January
2003-02-01,33760739,2003,2,February
2003-03-01,37611162,2003,3,March
2003-04-01,35023987,2003,4,April
2003-05-01,38932947,2003,5,May
2003-06-01,38893735,2003,6,June
2003-07-01,39435538,2003,7,July
2003-08-01,42001899,2003,8,August
2003-09-01,37401009,2003,9,September
2003-10-01,38110868,2003,10,October
2003-11-01,38197304,2003,11,November
2003-12-01,39813310,2003,12,December
2004-01-01,35903263,2004,1,January
2004-02-01,34854313,2004,2,February
2004-03-01,38592918,2004,3,March
2004-04-01,37343784,2004,4,April
2004-05-01,39109802,2004,5,May
2004-06-01,38387798,2004,6,June
2004-07-01,43276202,2004,7,July
2004-08-01,42015375,2004,8,August
2004-09-01,36498913,2004,9,September
2004-10-01,37234909,2004,10,October
2004-11-01,36304360,2004,11,November
2004-12-01,38698661,2004,12,December
2005-01-01,36042540,2005,1,January
2005-02-01,33554011,2005,2,February
2005-03-01,38855450,2005,3,March
2005-04-01,36413741,2005,4,April
2005-05-01,38022499,2005,5,May
2005-06-01,37939004,2005,6,June
2005-07-01,41861981,2005,7,July
2005-08-01,41110107,2005,8,August
2005-09-01,35900965,2005,9,September
2005-10-01,36552874,2005,10,October
2005-11-01,35210988,2005,11,November
2005-12-01,38770108,2005,12,December
2006-01-01,36068363,2006,1,January
2006-02-01,32898553,2006,2,February
2006-03-01,37697218,2006,3,March
2006-04-01,36973288,2006,4,April
2006-05-01,37017313,2006,5,May
2006-06-01,36475728,2006,6,June
2006-07-01,40215493,2006,7,July
2006-08-01,39356130,2006,8,August
2006-09-01,35065150,2006,9,September
2006-10-01,35231689,2006,10,October
2006-11-01,36220024,2006,11,November
2006-12-01,37077073,2006,12,December
2007-01-01,32636448,2007,1,January
2007-02-01,30605463,2007,2,February
2007-03-01,35447146,2007,3,March
2007-04-01,33942965,2007,4,April
2007-05-01,36374177,2007,5,May
2007-06-01,35020819,2007,6,June
2007-07-01,37622035,2007,7,July
2007-08-01,37902703,2007,8,August
2007-09-01,33781569,2007,9,September
2007-10-01,34846441,2007,10,October
2007-11-01,33913261,2007,11,November
2007-12-01,35494148,2007,12,December
2008-01-01,32018021,2008,1,January
2008-02-01,30452440,2008,2,February
2008-03-01,34743026,2008,3,March
2008-04-01,32216753,2008,4,April
2008-05-01,34651654,2008,5,May
2008-06-01,33897500,2008,6,June
2008-07-01,36841233,2008,7,July
2008-08-01,37641340,2008,8,August
