Rank,Port Name,State,Border,Total_Crossings,Avg_Monthly_Crossings,Month_Count,First_Record,Last_Record
1,San Ysidro,California,Mexico,880806527,793519.0,1110,2000-01-01,2025-05-01
2,El Paso,Texas,Mexico,718651967,613708.0,1171,2000-01-01,2025-05-01
3,Laredo,Texas,Mexico,409967931,368676.0,1112,2000-01-01,2025-05-01
4,Calexico,California,Mexico,352360198,349564.0,1008,2000-01-01,2025-05-01
5,Hidalgo,Texas,Mexico,351799716,315799.0,1114,2000-01-01,2025-05-01
6,Brownsville,Texas,Mexico,346770428,312125.0,1111,2000-01-01,2025-05-01
7,Otay Mesa,California,Mexico,323480528,279586.0,1157,2000-01-01,2025-05-01
8,Buffalo Niagara Falls,New York,Canada,314334704,259996.0,1209,2000-01-01,2025-05-01
9,Nogales,Arizona,Mexico,302510220,255931.0,1182,2000-01-01,2025-05-01
10,Detroit,Michigan,Canada,220665836,201154.0,1097,2000-01-01,2025-05-01
11,San Luis,Arizona,Mexico,202084474,183213.0,1103,2000-01-01,2025-05-01
12,Eagle Pass,Texas,Mexico,184174275,165624.0,1112,2000-01-01,2025-05-01
13,Blaine,Washington,Canada,168522104,153761.0,1096,2000-01-01,2025-05-01
14,Calexico East,California,Mexico,157396870,132044.0,1192,2000-01-01,2025-05-01
15,Douglas,Arizona,Mexico,114015434,102995.0,1107,2000-01-01,2025-05-01
16,Progreso,Texas,Mexico,90025786,89757.0,1003,2000-01-01,2025-05-01
17,Del Rio,Texas,Mexico,86904418,86129.0,1009,2000-01-01,2025-05-01
18,Port Huron,Michigan,Canada,85466506,76858.0,1112,2000-01-01,2025-05-01
19,Champlain Rouses Point,New York,Canada,67364892,56467.0,1193,2000-01-01,2025-05-01
20,Tecate,California,Mexico,63957986,63013.0,1015,2000-01-01,2025-05-01
21,Roma,Texas,Mexico,57840192,52155.0,1109,2000-01-01,2025-05-01
22,Andrade,California,Mexico,56422613,56030.0,1007,2000-01-01,2025-05-01
23,Massena,New York,Canada,43669516,39556.0,1104,2000-01-01,2025-05-01
24,Presidio,Texas,Mexico,40983531,36790.0,1114,2000-01-01,2025-05-01
25,Sault Sainte Marie,Michigan,Canada,39177447,35455.0,1105,2000-01-01,2025-05-01
26,Calais,Maine,Canada,38951786,33871.0,1150,2000-01-01,2025-05-01
27,Sumas,Washington,Canada,37648524,31531.0,1194,2000-01-01,2025-05-01
28,Rio Grande City,Texas,Mexico,36052629,35802.0,1007,2000-01-01,2025-05-01
29,Alexandria Bay,New York,Canada,34466755,34956.0,986,2000-01-01,2025-05-01
30,Point Roberts,Washington,Canada,33570071,30574.0,1098,2000-01-01,2025-05-01
31,Ysleta,Texas,Mexico,33067021,275559.0,120,2020-03-01,2025-05-01
32,Santa Teresa,New Mexico,Mexico,28569406,25902.0,1103,2000-01-01,2025-05-01
33,Columbus,New Mexico,Mexico,27513082,25594.0,1075,2000-01-01,2025-05-01
34,Derby Line,Vermont,Canada,27491446,26333.0,1044,2000-01-01,2025-05-01
35,Kenneth G Ward,Washington,Canada,27413287,26133.0,1049,2000-01-01,2025-05-01
36,Tornillo,Texas,Mexico,26879935,26667.0,1008,2000-01-01,2025-05-01
37,Lukeville,Arizona,Mexico,26689216,23958.0,1114,2000-01-01,2025-05-01
38,Highgate Springs,Vermont,Canada,25377599,23155.0,1096,2000-01-01,2025-05-01
39,International Falls,Minnesota,Canada,21164056,17681.0,1197,2000-01-01,2025-05-01
40,Naco,Arizona,Mexico,20957105,20386.0,1028,2000-01-01,2025-05-01
41,Madawaska,Maine,Canada,19171724,18506.0,1036,2000-01-01,2025-05-01
42,Pembina,North Dakota,Canada,16105331,14628.0,1101,2000-01-01,2025-05-01
43,Houlton,Maine,Canada,13829347,13221.0,1046,2000-01-01,2025-05-01
44,Ogdensburg,New York,Canada,13747691,14000.0,982,2000-01-01,2025-05-01
45,Cross Border Xpress,California,Mexico,13177068,143229.0,92,2017-10-01,2025-05-01
